Assembly Accession size
GCF_000006645.1_ASM664v1_ NC_004838 100990
GCF_000006685.1_ASM668v1_ NC_002182 7501
GCF_000006805.1_ASM680v1_ NC_001869 191346
GCF_000006805.1_ASM680v1_ NC_002608 365425
GCF_000006925.2_ASM692v2_ NC_004851 221618
GCF_000006965.1_ASM696v1_ NC_003037 1354226
GCF_000006965.1_ASM696v1_ NC_003078 1683333
GCF_000007165.1_ASM716v1_ NC_003921 33700
GCF_000007165.1_ASM716v1_ NC_003922 64920
GCF_000007525.1_ASM752v1_ NC_004943 3626
GCF_000007645.1_ASM764v1_ NC_005008 4439
GCF_000007645.1_ASM764v1_ NC_005007 4679
GCF_000007645.1_ASM764v1_ NC_005006 8007
GCF_000007645.1_ASM764v1_ NC_005005 17261
GCF_000007645.1_ASM764v1_ NC_005004 24365
GCF_000007645.1_ASM764v1_ NC_005003 6585
GCF_000007725.1_ASM772v1_ NC_004555 2399
GCF_000007785.1_ASM778v1_ NC_004669 66320
GCF_000007785.1_ASM778v1_ NC_004671 57660
GCF_000007785.1_ASM778v1_ NC_004670 17963
GCF_000007805.1_ASM780v1_ NC_004633 73661
GCF_000007805.1_ASM780v1_ NC_004632 67473
GCF_000007885.1_ASM788v1_ NC_005813 70159
GCF_000007885.1_ASM788v1_ NC_005814 21742
GCF_000007885.1_ASM788v1_ NC_005815 106642
GCF_000007885.1_ASM788v1_ NC_005816 9609
GCF_000008125.1_ASM812v1_ NC_005838 232605
GCF_000008505.1_ASM850v1_ NC_006578 77112
GCF_000008625.1_ASM862v1_ NC_001880 39456
GCF_000008685.2_ASM868v2_ NC_001903 26498
GCF_000008685.2_ASM868v2_ NC_000948 30750
GCF_000008685.2_ASM868v2_ NC_000949 30223
GCF_000008685.2_ASM868v2_ NC_000950 30299
GCF_000008685.2_ASM868v2_ NC_000951 29838
GCF_000008685.2_ASM868v2_ NC_000952 30800
GCF_000008685.2_ASM868v2_ NC_000953 30885
GCF_000008685.2_ASM868v2_ NC_000954 30651
GCF_000008685.2_ASM868v2_ NC_001904 9386
GCF_000008685.2_ASM868v2_ NC_001849 16821
GCF_000008685.2_ASM868v2_ NC_000955 18777
GCF_000008685.2_ASM868v2_ NC_001850 24177
GCF_000008685.2_ASM868v2_ NC_001851 28155
GCF_000008685.2_ASM868v2_ NC_001852 29766
GCF_000008685.2_ASM868v2_ NC_001853 28601
GCF_000008685.2_ASM868v2_ NC_001854 27323
GCF_000008685.2_ASM868v2_ NC_001855 36849
GCF_000008685.2_ASM868v2_ NC_001856 38829
GCF_000008685.2_ASM868v2_ NC_000957 5228
GCF_000008685.2_ASM868v2_ NC_001857 53657
GCF_000008685.2_ASM868v2_ NC_000956 52971
GCF_000008865.1_ASM886v1_ NC_002128 92721
GCF_000008865.1_ASM886v1_ NC_002127 3306
GCF_000008885.1_ASM888v1_ NC_003425 5280
GCF_000008925.1_ASM892v1_ NC_007930 242436
